N_Scheduler,Time,N_processes,N_products
3,115,32,1
3,300,32,501
3,437,32,1001
3,649,32,1501
3,654,32,2001
3,845,32,2501
3,1033,32,3001
3,1406,32,3501
3,1591,32,4001
3,1539,32,4501
3,1428,32,5001
3,2055,32,5501
3,2150,32,6001
3,2039,32,6501
3,2804,32,7001
3,3049,32,7501
3,2615,32,8001
3,2347,32,8501
3,3343,32,9001
3,4778,32,9501
3,4024,32,10001
3,180,40,1
3,418,40,501
3,543,40,1001
3,803,40,1501
3,820,40,2001
3,1178,40,2501
3,1341,40,3001
3,1978,40,3501
3,2063,40,4001
3,2118,40,4501
3,2302,40,5001
3,2834,40,5501
3,3482,40,6001
3,3057,40,6501
3,3346,40,7001
3,3435,40,7501
3,3900,40,8001
3,3760,40,8501
3,4817,40,9001
3,5198,40,9501
3,5566,40,10001
3,220,48,1
3,472,48,501
3,739,48,1001
3,1193,48,1501
3,1277,48,2001
3,1579,48,2501
3,1873,48,3001
3,1884,48,3501
3,2294,48,4001
3,2648,48,4501
3,2246,48,5001
3,3901,48,5501
3,3194,48,6001
3,3016,48,6501
3,2927,48,7001
3,3678,48,7501
3,3353,48,8001
3,3006,48,8501
3,4816,48,9001
3,6195,48,9501
3,5934,48,10001
3,382,120,1
3,1221,120,501
3,1895,120,1001
3,2674,120,1501
3,2678,120,2001
3,2856,120,2501
3,3408,120,3001
3,5394,120,3501
3,4505,120,4001
3,4899,120,4501
3,5456,120,5001
3,7171,120,5501
3,9765,120,6001
3,9177,120,6501
3,9362,120,7001
3,7689,120,7501
3,9235,120,8001
3,8875,120,8501
3,10387,120,9001
3,12512,120,9501
3,12216,120,10001
3,393,160,1
3,1237,160,501
3,1874,160,1001
3,3096,160,1501
3,3630,160,2001
3,3965,160,2501
3,4327,160,3001
3,6826,160,3501
3,7152,160,4001
3,8602,160,4501
3,7760,160,5001
3,11995,160,5501
3,11212,160,6001
3,13931,160,6501
3,10035,160,7001
3,12911,160,7501
3,13156,160,8001
3,12683,160,8501
3,17579,160,9001
3,20945,160,9501
3,19351,160,10001
3,673,240,1
3,2069,240,501
3,3187,240,1001
3,4444,240,1501
3,5549,240,2001
3,6646,240,2501
3,6386,240,3001
3,10627,240,3501
3,10332,240,4001
3,10948,240,4501
3,9524,240,5001
3,16123,240,5501
3,16706,240,6001
3,19266,240,6501
3,17241,240,7001
3,20633,240,7501
3,22598,240,8001
3,16646,240,8501
3,29431,240,9001
3,27296,240,9501
3,23086,240,10001
3,704,280,1
3,2127,280,501
3,3325,280,1001
3,5133,280,1501
3,4643,280,2001
3,6778,280,2501
3,8386,280,3001
3,11247,280,3501
3,13174,280,4001
3,12192,280,4501
3,11129,280,5001
3,16684,280,5501
3,18692,280,6001
3,20388,280,6501
3,23679,280,7001
3,21825,280,7501
3,24552,280,8001
3,24729,280,8501
3,27127,280,9001
3,39491,280,9501
3,41936,280,10001
3,696,320,1
3,2395,320,501
3,4120,320,1001
3,6614,320,1501
3,7029,320,2001
3,9757,320,2501
3,10107,320,3001
3,13960,320,3501
3,16385,320,4001
3,18162,320,4501
3,18039,320,5001
3,21860,320,5501
3,23884,320,6001
3,22152,320,6501
3,25812,320,7001
3,22998,320,7501
3,26751,320,8001
3,24138,320,8501
3,32601,320,9001
3,37614,320,9501
3,41703,320,10001
3,1106,360,1
3,2825,360,501
3,4641,360,1001
3,6363,360,1501
3,6441,360,2001
3,9445,360,2501
3,12588,360,3001
3,15661,360,3501
3,15973,360,4001
3,17084,360,4501
3,16009,360,5001
3,27059,360,5501
3,27611,360,6001
3,21576,360,6501
3,25734,360,7001
3,30113,360,7501
3,30316,360,8001
3,33878,360,8501
3,60366,360,9001
3,38936,360,9501
3,41391,360,10001
3,1072,400,1
3,3953,400,501
3,5259,400,1001
3,9268,400,1501
3,10075,400,2001
3,10313,400,2501
3,10848,400,3001
3,13370,400,3501
3,14499,400,4001
3,16427,400,4501
3,16639,400,5001
3,22583,400,5501
3,27108,400,6001
3,28956,400,6501
3,29280,400,7001
3,31581,400,7501
3,41536,400,8001
3,34659,400,8501
3,47497,400,9001
3,40518,400,9501
3,57324,400,10001
4,69,1,1
4,76,1,501
4,111,1,1001
4,145,1,1501
4,126,1,2001
4,151,1,2501
4,117,1,3001
4,156,1,3501
4,150,1,4001
4,168,1,4501
4,152,1,5001
4,203,1,5501
4,302,1,6001
4,224,1,6501
4,208,1,7001
4,258,1,7501
4,281,1,8001
4,270,1,8501
4,320,1,9001
4,234,1,9501
4,221,1,10001
4,21,2,1
4,45,2,501
4,99,2,1001
4,122,2,1501
4,118,2,2001
4,153,2,2501
4,180,2,3001
4,221,2,3501
4,288,2,4001
4,466,2,4501
4,576,2,5001
4,715,2,5501
4,1277,2,6001
4,837,2,6501
4,433,2,7001
4,459,2,7501
4,413,2,8001
4,369,2,8501
4,399,2,9001
4,594,2,9501
4,522,2,10001
4,20,3,1
4,100,3,501
4,135,3,1001
4,217,3,1501
4,269,3,2001
4,260,3,2501
4,236,3,3001
4,265,3,3501
4,286,3,4001
4,300,3,4501
4,295,3,5001
4,429,3,5501
4,475,3,6001
4,439,3,6501
4,394,3,7001
4,356,3,7501
4,368,3,8001
4,478,3,8501
4,545,3,9001
4,565,3,9501
4,538,3,10001
4,44,4,1
4,139,4,501
4,172,4,1001
4,250,4,1501
4,212,4,2001
4,238,4,2501
4,215,4,3001
4,311,4,3501
4,364,4,4001
4,318,4,4501
4,310,4,5001
4,353,4,5501
4,438,4,6001
4,569,4,6501
4,566,4,7001
4,467,4,7501
4,491,4,8001
4,426,4,8501
4,708,4,9001
4,815,4,9501
4,714,4,10001
4,37,5,1
4,113,5,501
4,163,5,1001
4,203,5,1501
4,177,5,2001
4,245,5,2501
4,264,5,3001
4,367,5,3501
4,579,5,4001
4,475,5,4501
4,437,5,5001
4,495,5,5501
4,497,5,6001
4,516,5,6501
4,623,5,7001
4,743,5,7501
4,689,5,8001
4,528,5,8501
4,696,5,9001
4,781,5,9501
4,778,5,10001
4,51,6,1
4,144,6,501
4,145,6,1001
4,201,6,1501
4,252,6,2001
4,315,6,2501
4,318,6,3001
4,359,6,3501
4,390,6,4001
4,476,6,4501
4,468,6,5001
4,553,6,5501
4,471,6,6001
4,560,6,6501
4,481,6,7001
4,576,6,7501
4,540,6,8001
4,551,6,8501
4,730,6,9001
4,722,6,9501
4,684,6,10001
4,38,7,1
4,158,7,501
4,165,7,1001
4,237,7,1501
4,243,7,2001
4,321,7,2501
4,316,7,3001
4,310,7,3501
4,360,7,4001
4,384,7,4501
4,391,7,5001
4,501,7,5501
4,533,7,6001
4,499,7,6501
4,511,7,7001
4,454,7,7501
4,429,7,8001
4,426,7,8501
4,639,7,9001
4,820,7,9501
4,826,7,10001
4,52,8,1
4,200,8,501
4,316,8,1001
4,250,8,1501
4,205,8,2001
4,249,8,2501
4,260,8,3001
4,322,8,3501
4,371,8,4001
4,350,8,4501
4,601,8,5001
4,461,8,5501
4,523,8,6001
4,506,8,6501
4,635,8,7001
4,595,8,7501
4,689,8,8001
4,728,8,8501
4,770,8,9001
4,864,8,9501
4,701,8,10001
4,99,16,1
4,178,16,501
4,261,16,1001
4,348,16,1501
4,301,16,2001
4,455,16,2501
4,609,16,3001
4,591,16,3501
4,561,16,4001
4,612,16,4501
4,788,16,5001
4,1038,16,5501
4,1018,16,6001
4,900,16,6501
4,1110,16,7001
4,1127,16,7501
4,998,16,8001
4,950,16,8501
4,1287,16,9001
4,1413,16,9501
4,1585,16,10001
4,96,24,1
4,307,24,501
4,313,24,1001
4,459,24,1501
4,402,24,2001
4,543,24,2501
4,599,24,3001
4,782,24,3501
4,813,24,4001
4,924,24,4501
4,884,24,5001
4,1393,24,5501
4,1498,24,6001
4,1529,24,6501
4,1297,24,7001
4,1779,24,7501
4,1588,24,8001
4,1507,24,8501
4,2290,24,9001
4,2175,24,9501
4,1835,24,10001
4,118,32,1
4,342,32,501
4,420,32,1001
4,522,32,1501
